step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,Type_CASH_IN,Type_CASH_OUT,Type_DEBIT,Type_PAYMENT,Type_TRANSFER
-0.8856401555500104,-0.43994185740210767,-0.37999020753339513,-0.21090125716196617,-0.24715139361631044,-0.3392431231475901,1,0,0,0,0,1
1.7240340311149718,-0.31051961711328185,-0.3072585431517674,-0.21090125716196617,-0.24715139361631044,-0.3392431231475901,1,0,0,0,0,1
-1.5018132274014644,-0.3781969405430095,-0.34529129828684296,-0.21090125716196617,-0.05139850648993779,-0.12887540871158298,1,0,1,0,0,0
-0.16073065925418217,0.9719200224066308,0.4134365185555755,-0.21090125716196617,2.0405490370297654,2.441134809153821,1,0,1,0,0,0
0.09298766444935766,-0.4387011186459852,-0.3792929471970404,-0.21090125716196617,-0.24715139361631044,-0.3392431231475901,1,0,0,0,0,1
-0.7872595810527194,0.414558950672294,0.10021524902493137,-0.21090125716196617,0.7797959924650075,1.0203236525173338,1,0,1,0,0,0
0.667737336512479,-0.24585185698024106,-0.27091707806963333,-0.21090125716196617,-0.2390112548551326,-0.2327481927640877,1,0,1,0,0,0
1.8690159303741374,-0.21113741752676035,-0.2514085380081082,-0.21090125716196617,-0.24715139361631044,-0.3392431231475901,1,0,0,0,0,1
-1.1600701791477168,0.09206722471607375,-0.08101604418831687,-0.21090125716196617,-0.24715139361631044,-0.07129740076023407,1,0,1,0,0,0
1.7809912058239297,-0.06809916703396371,-0.1710250582803547,-0.21090125716196617,-0.24715139361631044,-0.3392431231475901,1,0,0,0,0,1
-1.2118494288831332,1.6119872380844658,0.7731363182845296,-0.21090125716196617,-0.22199501795744267,0.7108578268454371,1,0,1,0,0,0
0.5641788370416464,-0.436828869793744,-0.37824079592183285,-0.21090125716196617,-0.10503402228159515,-0.20676665090008786,1,0,1,0,0,0
-1.3102300033804242,0.06170688633317035,-0.09807770172762488,-0.21090125716196617,-0.24715139361631044,-0.3392431231475901,1,0,0,0,0,1
-1.268806603592091,-0.1860964665493868,-0.2373362268024091,-0.21090125716196617,-0.24715139361631044,-0.3392431231475901,1,0,0,0,0,1
-1.413788502851257,0.34243540277879986,0.059683840607835936,-0.21090125716196617,0.14048653060476132,0.4050212071250176,1,0,1,0,0,0
0.21725786381435683,-0.28607497015102934,-0.29352133805611874,-0.21090125716196617,-0.24715139361631044,-0.3392431231475901,1,0,0,0,0,1
-0.10377348454522432,-0.3915210438409386,-0.35277907014961135,-0.21090125716196617,-0.24715139361631044,-0.3392431231475901,1,0,0,0,0,1
